company_name,cin,url,company_status,registered_address,paid_up_capital,query_text
HINDUSTHAN NATIONAL GLASS & INDUSTRIES LIMITED,L26109WB1946PLC013294,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"2 RED CROSS PLACE,KOLKATA,West Bengal,700001-India",179107130,priority seed from uploaded WB master data; status=Under CIRP; listing=Listed
SHREE MAHALAXMI CORPORATION PRIVATE LIMITED,U51909WB2001PTC093540,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"13/2A, PRIYA NATH MULLICK ROAD,   P.S- BHAWANIPORE,KOLKATA,Kolkata,West Bengal,700026-India",171058000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
SPICY ENTERTAINMENT AND MEDIA LIMITED,L22219WB2012PLC188312,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"Ofc No.12,Block A3, Ganges Garden, Premises No 106   Cows Ghat Road, Shibpur, HMC Ward No. 36,Kolkata,Howrah,West Bengal,711102-India",165112500,priority seed from uploaded WB master data; status=Under CIRP; listing=Listed
SUPER FORGINGS & STEELS LTD,L27106WB1968PLC027324,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"6, LYONS RANGE,KOLKATA,Kolkata,West Bengal,700012-India",158810000,priority seed from uploaded WB master data; status=Under CIRP; listing=Listed
AARYA INDUSTRIAL PRODUCTS PRIVATE LIMITED,U67120WB1996PTC079800,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"CRESCENTTOWER229AJCBOSEROADSUITE#GA,KOLKATA,West Bengal,700020-India",139872000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
BENGAL EMTA COAL MINES LTD,U10102WB1996PLC076986,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"5 B NANDALAL BASU SARANI,KOLKATA,West Bengal,700071-India",138469000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
SHREE SHYAM BEARINGS PRIVATE LIMITED,U74999WB2005PTC102716,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"138  CANNING STREET ROOMNO-207,KOLKATA,West Bengal,700001-India",129450000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
MACHINE WORKS (INTERNATIONAL) LIMITED,U02720WB1984PLC037812,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"MOTIJUJ HOUSE1,AUCKLAND PLACE,KOLKATA,West Bengal,700017-India",113482000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
IMPERIAL TUBES PVT.LTD.,U19202WB1981PTC033712,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"Left Lane no-3, Gate -1, Jalan Industrial Complex   NH-6, Baniara, Domjur, Begri,Howrah,Howrah,West Bengal,711411-India",97634820,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
SOHOM SHIPPING PRIVATE LIMITED,U63090WB2001PTC093683,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"23A NETAJI SUBHAS ROAD6TH FLOOR ROOM NO 2,KOLKATA,West Bengal,700001-India",96100000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
SPECTRA FASHIONS PRIVATE LIMITED,U18101WB2007PTC112736,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"23/24 RADHA BAZAR STREET   SETHIA HOUSE, 5TH FLOOR.,KOLKATA,West Bengal,700001-India",95000000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
BASUKINATH FOOD PROCESSORS LIMITED,U51109WB2005PLC104406,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"4, BBD BAG, STEPHEN HOUSE,   5TH FLOOR, ROOM 87A,KOLKATA,Kolkata,West Bengal,700001-India",88141150,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
FORT PROJECTS PVT LTD,U40102WB1996PTC077205,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"7/1A , HAZRA ROAD,,KOLKATA,West Bengal,700026-India",76762000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
SCG EXPORTS PVT LTD,U51900WB2006PTC109073,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"17/3, Sambhu nath, Das Lane,,LP 100/8, Kolkata, West Bengal,Kolkata,Kolkata,West Bengal,700050-India",73950000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
BALAJEE INGOT INDIA PRIVATE LIMITED,U27310WB1989PTC139464,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"2/7,SARAT BOSE ROAD,6TH FLOOR   VASUNDHARA BUILDING,KOLKATA,Kolkata,West Bengal,700020-India",70638600,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
ROOFERS INFRASTRUCTURE INDIA PRIVATE LIMITED,U45400WB2007PTC121020,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"103A, C. I. T. ROAD,   2ND FLOOR,,KOLKATA,Kolkata,West Bengal,700014-India",69800000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
FUTURE SPECIALITY MEDICARE PRIVATE LIMITED,U74999WB2010PTC153450,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"44A, S.P. MUKHERJEE ROAD,KOLKATA,West Bengal,700026-India",64730120,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
G R POLYFILM PVT LTD,U25209WB1990PTC049788,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"620 DIAMOND HARBOUR ROAD   INDUSTRIAL ESTATE, PLOT NO. D/1,BEHALA,Kolkata,West Bengal,700034-India",63791100,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
VINAYAK IRON AND COKE PRIVATE LIMITED.,U14293WB2002PTC094746,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"63 RAFI AHMED KIDWAI ROADPARK STREET,KOLKATA,West Bengal,700016-India",59675000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
LINKPOINT ADVISORY PRIVATE LIMITED,U74140WB2010PTC151309,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"ROOM NO 803B, SHAILA TOWER, 8TH FLOOR, J1/16,   EP BLOCK, SALT LAKE, SECTOR V,,KOLKATA,Kolkata,West Bengal,700091-India",54900000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
ECOTECH ENTERPRISE PRIVATE LIMITED,U22219WB2006PTC109049,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"Sugandha Polba,KOLKATA,Hooghly,West Bengal,712102-India",53613140,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
SREI CAPITAL MARKETS LIMITED,U67190WB1998PLC087155,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Active,"VISWAKARMA86C,TOPSIAROAD(SOUTH),,KOLKATA,West Bengal,700046-India",50500000,priority seed from uploaded WB master data; status=Active; listing=Unlisted
SREI INSURANCE BROKING PRIVATE LIMITED,U67120WB2002PTC095019,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Active,"VISWAKARMA86C,TOPSIAROAD(SOUTH),,KOLKATA,West Bengal,700046-India",50000000,priority seed from uploaded WB master data; status=Active; listing=Unlisted
MOUNTVIEW CONSULTANCY PRIVATE LIMITED,U74140WB2010PTC151287,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"ROOM NO 803B, CABIN NO.B, SHAILA TOWER, 8TH FLOOR,   J1/16,EP BLOCK, SALT LAKE, SECTOR V,,KOLKATA,Kolkata,West Bengal,700091-India",49600000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
SARGA UDAIPUR HOTELS & RESORTS PRIVATE LIMITED,U55101WB2007PTC112974,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"PLOT NO. X-1, 2 & 3   BLOCK - EP, SECTOR - V, SALT LAKE CITY,KOLKATA,Kolkata,West Bengal,700091-India",49500000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
DUTTA AGRO MILLS PVT LTD,U15142WB1995PTC073558,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"Vill:- Dhunui, P.O.:- Paharhati, P.S.:- Memari   Dist.- Burdwan,Dhunui,West Bengal,713168-India",49390000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
JOHAL & CO (WINE SALES) PVT LTD,U15520WB1979PTC031834,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"RAJHANSBUILDING,6HASTINGSPARKROAD,ROOMNO:11&12,KOLKATA,West Bengal,700027-India",43858600,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
SRI SAI CAR SALES PRIVATE LIMITED,U34103WB2008PTC126978,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"Room No-4, Flat No-L/62/0506 Building No- L(62-63)   Phase-4,Spriha Block,Sukhobrishti,Phase-,2A,N.Town,kolkata,West Bengal,700135-India",43578000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
SHIMA EDIBLES PRIVATE LIMITED,U15319WB2004PTC098199,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"RAMNAGAR, P.O. - BHUNIARAYCHAK,   P.S - DURGACHAK,  DIST : PURBA MEDINIPUR,,,HALDIA,Midnapore,West Bengal,721635-India",42900000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
JOGVICK MANUFACTURING AND TRADING PRIVATE LIMITED,U15520WB1998PTC086636,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"THE MILLENIUM,  235/2A, A.J.C. BOSE ROAD,   4TH FLOOR,KOLKATA,West Bengal,700020-India",41986200,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
